Date,File Name,Dataset,CRS,Bounds,Path
2024-12-04 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2024-12-04 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2024-12-04_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2024-12-04_02-25.tif
2025-01-03 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-01-03 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-01-03_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-01-03_02-25.tif
2025-02-02 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-02-02 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-02-02_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-02-02_02-25.tif
2025-03-04 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-03-04 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-03-04_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-03-04_02-25.tif
2025-04-05 02:15,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-04-05 02:15,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-04-05_02-15\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-04-05_02-15.tif
2025-05-03 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-05-03 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-05-03_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-05-03_02-25.tif
2025-06-02 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-06-02 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-06-02_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-06-02_02-25.tif
2025-07-02 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-07-02 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-07-02_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-07-02_02-25.tif
2025-08-01 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-08-01 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-08-01_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-08-01_02-25.tif
2025-08-31 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-08-31 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-08-31_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-08-31_02-25.tif
2025-09-30 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2025-09-30 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2025-09-30_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2025-09-30_02-25.tif
